Image,Student Answers,Answer Key,Score,Wrong Answers,Processing Time
C:\Main\Code\GradeVision\test10\1685500.tif,"B,A,C,B,D,A,C,B,A,D,C,A,C,B,D,C,A,D,C,A,D,D,C,D,B","A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,B,B",6,"[(1, 'B'), (3, 'C'), (4, 'B'), (5, 'D'), (7, 'C'), (8, 'B'), (10, 'D'), (11, 'C'), (13, 'C'), (14, 'B'), (15, 'D'), (16, 'C'), (18, 'D'), (19, 'C'), (1, 'A'), (2, 'D'), (3, 'D'), (4, 'C'), (5, 'D')]",0.5953524112701416
C:\Main\Code\GradeVision\test10\1685501.tif,"D,C,D,A,B,A,C,B,D,A,C,B,A,D,C,A,C,B,D,C,A,D,C,A,D","A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,B,B",5,"[(1, 'D'), (2, 'C'), (3, 'D'), (5, 'B'), (7, 'C'), (8, 'B'), (9, 'D'), (11, 'C'), (12, 'B'), (14, 'D'), (15, 'C'), (17, 'C'), (18, 'B'), (19, 'D'), (1, 'C'), (2, 'A'), (3, 'D'), (4, 'C'), (5, 'A'), (6, 'D')]",3.561624050140381
C:\Main\Code\GradeVision\test10\1685502.tif,"A,D,C,A,D,D,C,D,A,B,A,C,B,D,A,C,A,A,D,C,A,C,D,D,C","A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,B,B",7,"[(2, 'D'), (3, 'C'), (5, 'D'), (6, 'D'), (7, 'C'), (8, 'D'), (10, 'B'), (12, 'C'), (13, 'B'), (14, 'D'), (16, 'C'), (19, 'D'), (1, 'C'), (2, 'A'), (3, 'C'), (4, 'D'), (5, 'D'), (6, 'C')]",0.654655933380127
C:\Main\Code\GradeVision\test10\1685503.tif,"A,C,D,D,C,A,D,C,A,D,D,C,D,A,B,A,C,B,D,A,C,A,A,D,C","A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,B,B",5,"[(2, 'C'), (3, 'D'), (4, 'D'), (5, 'C'), (7, 'D'), (8, 'C'), (10, 'D'), (11, 'D'), (12, 'C'), (13, 'D'), (15, 'B'), (17, 'C'), (18, 'B'), (19, 'D'), (1, 'A'), (2, 'C'), (3, 'A'), (4, 'A'), (5, 'D'), (6, 'C')]",0.5281643867492676
C:\Main\Code\GradeVision\test10\1685504.tif,"B,A,C,B,D,A,C,B,A,D,C,A,A,B,D,C,A,D,C,A,D,D,C,D,A","A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,B,B",6,"[(1, 'B'), (3, 'C'), (4, 'B'), (5, 'D'), (7, 'C'), (8, 'B'), (10, 'D'), (11, 'C'), (14, 'B'), (15, 'D'), (16, 'C'), (18, 'D'), (19, 'C'), (1, 'A'), (2, 'D'), (3, 'D'), (4, 'C'), (5, 'D'), (6, 'A')]",0.6374039649963379
C:\Main\Code\GradeVision\test10\1685505.tif,"D,C,D,A,B,A,C,B,D,A,C,B,A,D,C,A,A,B,D,C,A,D,C,A,D","A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,B,B",6,"[(1, 'D'), (2, 'C'), (3, 'D'), (5, 'B'), (7, 'C'), (8, 'B'), (9, 'D'), (11, 'C'), (12, 'B'), (14, 'D'), (15, 'C'), (18, 'B'), (19, 'D'), (1, 'C'), (2, 'A'), (3, 'D'), (4, 'C'), (5, 'A'), (6, 'D')]",0.6104280948638916
C:\Main\Code\GradeVision\test10\1685506.tif,"B,D,C,B,D,D,C,D,A,B,A,C,B,D,A,C,B,A,D,C,A,A,B,C,C","A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,B,B",5,"[(1, 'B'), (2, 'D'), (3, 'C'), (4, 'B'), (5, 'D'), (6, 'D'), (7, 'C'), (8, 'D'), (10, 'B'), (12, 'C'), (13, 'B'), (14, 'D'), (16, 'C'), (17, 'B'), (19, 'D'), (1, 'C'), (2, 'A'), (3, 'A'), (5, 'C'), (6, 'C')]",0.587496280670166
C:\Main\Code\GradeVision\test10\1685507.tif,"A,C,C,D,C,A,D,C,A,D,B,C,D,B,B,A,C,B,D,A,C,A,A,D,C","A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,B,B",4,"[(2, 'C'), (3, 'C'), (4, 'D'), (5, 'C'), (7, 'D'), (8, 'C'), (10, 'D'), (11, 'B'), (12, 'C'), (13, 'D'), (14, 'B'), (15, 'B'), (17, 'C'), (18, 'B'), (19, 'D'), (1, 'A'), (2, 'C'), (3, 'A'), (4, 'A'), (5, 'D'), (6, 'C')]",0.7184708118438721
C:\Main\Code\GradeVision\test10\1685508.tif,"B,A,C,B,D,A,C,B,A,D,C,A,A,B,D,C,A,D,C,A,D,D,C,D,B","A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,B,B",7,"[(1, 'B'), (3, 'C'), (4, 'B'), (5, 'D'), (7, 'C'), (8, 'B'), (10, 'D'), (11, 'C'), (14, 'B'), (15, 'D'), (16, 'C'), (18, 'D'), (19, 'C'), (1, 'A'), (2, 'D'), (3, 'D'), (4, 'C'), (5, 'D')]",0.5052030086517334
C:\Main\Code\GradeVision\test10\1685509.tif,"D,C,D,A,B,A,C,B,D,A,C,A,A,D,C,A,C,B,D,C,A,D,C,A,D","A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,B,B",6,"[(1, 'D'), (2, 'C'), (3, 'D'), (5, 'B'), (7, 'C'), (8, 'B'), (9, 'D'), (11, 'C'), (14, 'D'), (15, 'C'), (17, 'C'), (18, 'B'), (19, 'D'), (1, 'C'), (2, 'A'), (3, 'D'), (4, 'C'), (5, 'A'), (6, 'D')]",0.42977476119995117
C:\Main\Code\GradeVision\test10\1685510.tif,"A,D,C,A,C,D,C,D,A,B,A,C,B,D,A,C,A,A,D,C,A,C,D,D,C","A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,B,B",7,"[(2, 'D'), (3, 'C'), (5, 'C'), (6, 'D'), (7, 'C'), (8, 'D'), (10, 'B'), (12, 'C'), (13, 'B'), (14, 'D'), (16, 'C'), (19, 'D'), (1, 'C'), (2, 'A'), (3, 'C'), (4, 'D'), (5, 'D'), (6, 'C')]",0.505582332611084
C:\Main\Code\GradeVision\test10\1685511.tif,"A,C,D,D,C,A,D,C,A,D,B,B,D,A,B,A,C,B,D,D,C,B,D,D,C","A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,B,B",6,"[(2, 'C'), (3, 'D'), (4, 'D'), (5, 'C'), (7, 'D'), (8, 'C'), (10, 'D'), (11, 'B'), (12, 'B'), (13, 'D'), (15, 'B'), (17, 'C'), (18, 'B'), (19, 'D'), (1, 'D'), (2, 'C'), (4, 'D'), (5, 'D'), (6, 'C')]",0.49152612686157227
C:\Main\Code\GradeVision\test10\1685512.tif,"B,A,C,B,D,A,C,B,A,D,C,A,A,B,D,C,A,D,C,A,D,D,C,D,A","A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,B,B",6,"[(1, 'B'), (3, 'C'), (4, 'B'), (5, 'D'), (7, 'C'), (8, 'B'), (10, 'D'), (11, 'C'), (14, 'B'), (15, 'D'), (16, 'C'), (18, 'D'), (19, 'C'), (1, 'A'), (2, 'D'), (3, 'D'), (4, 'C'), (5, 'D'), (6, 'A')]",0.45929455757141113
C:\Main\Code\GradeVision\test10\1685513.tif,"D,C,D,B,B,A,C,B,D,A,C,B,C,A,D,A,C,C,B,D,C,A,D,C,A,D","A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,B,B",6,"[(1, 'B'), (3, 'C'), (4, 'B'), (5, 'D'), (7, 'C'), (8, 'B'), (10, 'D'), (11, 'C'), (14, 'B'), (15, 'D'), (16, 'C'), (18, 'D'), (19, 'C'), (1, 'C'), (2, 'A'), (3, 'D'), (4, 'C'), (5, 'A'), (6, 'D')]",1.1486144065856934
C:\Main\Code\GradeVision\test10\1685514.tif,"A,D,C,B,D,B,C,D,A,B,A,C,B,D,A,C,B,A,D,C,A,C,C,D,C","A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,B,B",5,"[(2, 'D'), (3, 'C'), (4, 'B'), (5, 'D'), (6, 'B'), (7, 'C'), (8, 'D'), (10, 'B'), (12, 'C'), (13, 'B'), (14, 'D'), (16, 'C'), (17, 'B'), (19, 'D'), (1, 'C'), (2, 'A'), (3, 'C'), (4, 'C'), (5, 'D'), (6, 'C')]",0.5477612018585205
C:\Main\Code\GradeVision\test10\1685515.tif,"A,C,C,C,C,A,D,C,B,D,B,C,D,A,B,A,C,D,D,A,C,B,A,A,C","A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,B,B",5,"[(2, 'C'), (3, 'C'), (4, 'C'), (5, 'C'), (7, 'D'), (8, 'C'), (9, 'B'), (10, 'D'), (11, 'B'), (12, 'C'), (13, 'D'), (15, 'B'), (17, 'C'), (18, 'D'), (19, 'D'), (1, 'A'), (2, 'C'), (4, 'A'), (5, 'A'), (6, 'C')]",0.8146464824676514
C:\Main\Code\GradeVision\test10\1685516.tif,"B,A,C,C,D,A,C,B,A,D,C,A,C,B,D,C,A,D,C,A,D,B,C,D,B","A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,B,B",7,"[(1, 'B'), (3, 'C'), (4, 'C'), (5, 'D'), (7, 'C'), (8, 'B'), (10, 'D'), (11, 'C'), (13, 'C'), (14, 'B'), (15, 'D'), (16, 'C'), (18, 'D'), (19, 'C'), (1, 'A'), (2, 'D'), (4, 'C'), (5, 'D')]",0.41487574577331543
C:\Main\Code\GradeVision\test10\1685517.tif,"D,C,D,B,B,A,C,B,D,A,C,B,A,D,C,A,C,B,D,C,A,D,C,A,D","A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,B,B",4,"[(1, 'D'), (2, 'C'), (3, 'D'), (4, 'B'), (5, 'B'), (7, 'C'), (8, 'B'), (9, 'D'), (11, 'C'), (12, 'B'), (14, 'D'), (15, 'C'), (17, 'C'), (18, 'B'), (19, 'D'), (1, 'C'), (2, 'A'), (3, 'D'), (4, 'C'), (5, 'A'), (6, 'D')]",0.5415842533111572
C:\Main\Code\GradeVision\test10\1685518.tif,"A,D,C,A,D,B,D,D,B,B,A,C,B,D,D,A,B,A,D,C,A,C,B,D,A","A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,B,B",6,"[(2, 'D'), (3, 'C'), (5, 'D'), (6, 'B'), (7, 'D'), (8, 'D'), (9, 'B'), (10, 'B'), (12, 'C'), (13, 'B'), (14, 'D'), (15, 'D'), (17, 'B'), (19, 'D'), (1, 'C'), (2, 'A'), (3, 'C'), (5, 'D'), (6, 'A')]",0.4406464099884033
C:\Main\Code\GradeVision\test10\1685519.tif,"A,C,B,D,C,A,D,C,A,D,B,C,D,B,B,A,C,B,D,A,A,B,A,D,C","A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,B,B",5,"[(2, 'C'), (3, 'B'), (4, 'D'), (5, 'C'), (7, 'D'), (8, 'C'), (10, 'D'), (11, 'B'), (12, 'C'), (13, 'D'), (14, 'B'), (15, 'B'), (17, 'C'), (18, 'B'), (19, 'D'), (1, 'A'), (2, 'A'), (4, 'A'), (5, 'D'), (6, 'C')]",0.4757649898529053
C:\Main\Code\GradeVision\test10\1685520.tif,"D,A,C,B,D,D,C,C,A,D,C,A,C,C,D,B,A,D,C,A,D,B,C,D,A","A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,B,B",5,"[(1, 'D'), (3, 'C'), (4, 'B'), (5, 'D'), (6, 'D'), (7, 'C'), (8, 'C'), (10, 'D'), (11, 'C'), (13, 'C'), (14, 'C'), (15, 'D'), (16, 'B'), (18, 'D'), (19, 'C'), (1, 'A'), (2, 'D'), (4, 'C'), (5, 'D'), (6, 'A')]",0.5898785591125488
C:\Main\Code\GradeVision\test10\1685521.tif,"B,C,D,A,D,A,C,B,D,D,C,C,A,D,C,A,C,C,D,B,A,D,C,A,D","A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,B,B",5,"[(1, 'B'), (2, 'C'), (3, 'D'), (5, 'D'), (7, 'C'), (8, 'B'), (9, 'D'), (10, 'D'), (11, 'C'), (12, 'C'), (14, 'D'), (15, 'C'), (17, 'C'), (18, 'C'), (19, 'D'), (2, 'A'), (3, 'D'), (4, 'C'), (5, 'A'), (6, 'D')]",0.6206638813018799
C:\Main\Code\GradeVision\test10\1685522.tif,"A,D,C,A,D,B,C,D,A,D,A,B,B,D,A,C,C,A,D,C,A,C,C,D,B","A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,B,B",7,"[(2, 'D'), (3, 'C'), (5, 'D'), (6, 'B'), (7, 'C'), (8, 'D'), (10, 'D'), (12, 'B'), (13, 'B'), (14, 'D'), (16, 'C'), (17, 'C'), (19, 'D'), (1, 'C'), (2, 'A'), (3, 'C'), (4, 'C'), (5, 'D')]",0.5674092769622803
C:\Main\Code\GradeVision\test10\1685523.tif,"A,C,B,D,B,A,D,C,A,D,B,C,D,A,D,A,C,B,D,A,C,B,A,D,C","A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,B,B",6,"[(2, 'C'), (3, 'B'), (4, 'D'), (5, 'B'), (7, 'D'), (8, 'C'), (10, 'D'), (11, 'B'), (12, 'C'), (13, 'D'), (15, 'D'), (17, 'C'), (18, 'B'), (19, 'D'), (1, 'A'), (2, 'C'), (4, 'A'), (5, 'D'), (6, 'C')]",0.6371760368347168
